booking_id,hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,arrival_date,booking_date
13422,Resort Hotel,13,2017,August,33,14,2,5,2,0.0,0.0,BB,PRT,Corporate,Corporate,0,0,0,D,D,0,No Deposit,0.0,0,Transient,159.0,0,0,Canceled,07/08/2017,14/08/2017,2017-08-01
13453,Resort Hotel,15,2017,August,33,16,0,1,2,2.0,0.0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,310.0,0,0,Canceled,04/08/2017,16/08/2017,2017-08-01
13469,Resort Hotel,16,2017,August,33,17,0,1,2,2.0,0.0,HB,ESP,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240.0,0,Transient,308.0,0,1,Canceled,01/08/2017,17/08/2017,2017-08-01
13685,Resort Hotel,25,2017,August,34,26,2,3,2,0.0,0.0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,242.0,0,Transient,242.0,0,2,No-Show,26/08/2017,26/08/2017,2017-08-01
13745,Resort Hotel,27,2017,August,35,28,1,4,2,2.0,0.0,HB,ESP,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,0,Transient,341.0,0,0,Canceled,02/08/2017,28/08/2017,2017-08-01
15267,Resort Hotel,2,2017,August,31,3,0,2,2,0.0,0.0,BB,PRT,Corporate,Corporate,1,1,7,D,D,0,No Deposit,0.0,0,Transient,0.0,1,2,Check-Out,05/08/2017,03/08/2017,2017-08-01
26702,Resort Hotel,4,2017,August,31,5,2,1,1,0.0,0.0,BB,PRT,Direct,Direct,1,1,1,E,E,0,No Deposit,0.0,0,Transient,239.08,0,0,Canceled,02/08/2017,05/08/2017,2017-08-01
38911,Resort Hotel,1,2017,August,31,2,0,1,1,0.0,0.0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,146.0,0,Transient,165.75,0,0,Check-Out,03/08/2017,02/08/2017,2017-08-01
39021,Resort Hotel,3,2017,August,31,4,0,2,2,0.0,0.0,BB,PHL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,0,Transient,164.0,0,1,Check-Out,06/08/2017,04/08/2017,2017-08-01
39047,Resort Hotel,3,2017,August,31,4,0,2,3,0.0,0.0,BB,PHL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,0,Transient,196.0,0,1,Check-Out,06/08/2017,04/08/2017,2017-08-01
39048,Resort Hotel,3,2017,August,31,4,0,2,2,0.0,0.0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,0,Transient,164.0,0,1,Check-Out,06/08/2017,04/08/2017,2017-08-01
39050,Resort Hotel,3,2017,August,31,4,0,2,2,0.0,0.0,BB,PHL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,0,Transient,164.0,0,1,Check-Out,06/08/2017,04/08/2017,2017-08-01
39051,Resort Hotel,3,2017,August,31,4,0,2,3,0.0,0.0,BB,PHL,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,241.0,0,Transient,196.0,0,1,Check-Out,06/08/2017,04/08/2017,2017-08-01
39052,Resort Hotel,3,2017,August,31,4,0,2,2,0.0,0.0,BB,PHL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,0,Transient,164.0,0,1,Check-Out,06/08/2017,04/08/2017,2017-08-01
39095,Resort Hotel,5,2017,August,32,6,1,0,2,2.0,0.0,HB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,372.0,1,1,Check-Out,07/08/2017,06/08/2017,2017-08-01
39308,Resort Hotel,11,2017,August,32,12,1,1,2,2.0,0.0,BB,ESP,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240.0,0,Transient,284.0,1,2,Check-Out,14/08/2017,12/08/2017,2017-08-01
39424,Resort Hotel,10,2017,August,32,11,2,5,2,0.0,0.0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,0,Contract,137.0,0,3,Check-Out,18/08/2017,11/08/2017,2017-08-01
39426,Resort Hotel,10,2017,August,32,11,2,5,2,0.0,0.0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,0,Contract,135.0,0,3,Check-Out,18/08/2017,11/08/2017,2017-08-01
39449,Resort Hotel,15,2017,August,33,16,0,2,2,0.0,0.0,BB,CN,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,0,Transient,210.0,0,2,Check-Out,18/08/2017,16/08/2017,2017-08-01
39481,Resort Hotel,11,2017,August,32,12,2,5,2,0.0,0.0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,0,Transient,116.47,0,2,Check-Out,19/08/2017,12/08/2017,2017-08-01
39520,Resort Hotel,13,2017,August,33,14,1,5,2,0.0,0.0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0.0,0,Transient,247.65,0,3,Check-Out,20/08/2017,14/08/2017,2017-08-01
39624,Resort Hotel,12,2017,August,33,13,4,7,2,0.0,0.0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,0,Contract,163.0,0,2,Check-Out,24/08/2017,13/08/2017,2017-08-01
39635,Resort Hotel,18,2017,August,33,19,2,3,2,0.0,0.0,BB,ROU,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,0,Transient,219.2,0,1,Check-Out,24/08/2017,19/08/2017,2017-08-01
39662,Resort Hotel,13,2017,August,33,14,3,8,1,0.0,0.0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,40.0,0,Contract,116.5,0,0,Check-Out,25/08/2017,14/08/2017,2017-08-01
39682,Resort Hotel,21,2017,August,34,22,0,3,2,0.0,0.0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,0,Transient,261.0,1,1,Check-Out,25/08/2017,22/08/2017,2017-08-01
39737,Resort Hotel,12,2017,August,33,13,4,10,2,0.0,0.0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,0,Contract,135.0,0,1,Check-Out,27/08/2017,13/08/2017,2017-08-01
39771,Resort Hotel,20,2017,August,34,21,2,5,2,0.0,0.0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,0,Contract,137.0,0,0,Check-Out,28/08/2017,21/08/2017,2017-08-01
39887,Resort Hotel,26,2017,August,35,27,2,2,1,0.0,0.0,BB,RUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,197.0,0,3,Check-Out,31/08/2017,27/08/2017,2017-08-01
39935,Resort Hotel,30,2017,August,35,31,0,2,2,0.0,0.0,BB,TUR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,0,Transient,142.0,0,4,Check-Out,02/09/2017,31/08/2017,2017-08-01
39937,Resort Hotel,30,2017,August,35,31,0,2,1,0.0,0.0,BB,TUR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,0,Transient,191.0,1,3,Check-Out,02/09/2017,31/08/2017,2017-08-01
39997,Resort Hotel,27,2017,August,35,28,2,5,2,0.0,0.0,BB,CHE,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,0,Transient,234.29,0,1,Check-Out,04/09/2017,28/08/2017,2017-08-01
40011,Resort Hotel,30,2017,August,35,31,2,3,2,0.0,0.0,HB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,0,Transient,149.45,0,1,Check-Out,05/09/2017,31/08/2017,2017-08-01
72675,City Hotel,2,2017,August,31,3,0,1,1,0.0,0.0,HB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,509.0,0,Transient-Party,17.6,0,0,Canceled,02/08/2017,03/08/2017,2017-08-01
72676,City Hotel,2,2017,August,31,3,0,1,2,0.0,0.0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,509.0,0,Transient-Party,166.0,0,0,Canceled,02/08/2017,03/08/2017,2017-08-01
73168,City Hotel,15,2017,August,33,16,0,1,2,0.0,0.0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,160.0,0,1,Canceled,01/08/2017,16/08/2017,2017-08-01
73297,City Hotel,17,2017,August,33,18,1,2,2,0.0,0.0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,183.33,0,1,Canceled,04/08/2017,18/08/2017,2017-08-01
94397,City Hotel,0,2017,August,31,1,0,1,1,0.0,0.0,BB,PRT,Complementary,Direct,1,5,18,A,A,0,No Deposit,0.0,0,Transient,0.0,0,3,Check-Out,02/08/2017,01/08/2017,2017-08-01
102495,City Hotel,1,2017,August,31,2,0,1,1,0.0,0.0,BB,PRT,Corporate,Corporate,1,0,5,D,D,0,No Deposit,0.0,0,Transient,95.0,0,2,Check-Out,03/08/2017,02/08/2017,2017-08-01
117367,City Hotel,0,2017,August,31,1,0,2,2,1.0,0.0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,0.0,0,Transient,179.0,1,0,Check-Out,03/08/2017,01/08/2017,2017-08-01
117412,City Hotel,0,2017,August,31,1,0,2,1,0.0,0.0,BB,FIN,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,0,Transient,160.0,0,0,Check-Out,03/08/2017,01/08/2017,2017-08-01
117426,City Hotel,2,2017,August,31,3,0,1,2,0.0,0.0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,509.0,0,Transient-Party,166.0,0,0,Check-Out,04/08/2017,03/08/2017,2017-08-01
117428,City Hotel,2,2017,August,31,3,0,1,2,0.0,0.0,HB,PRT,Groups,TA/TO,0,0,0,A,A,2,No Deposit,509.0,0,Transient-Party,166.0,0,0,Check-Out,04/08/2017,03/08/2017,2017-08-01
117430,City Hotel,2,2017,August,31,3,0,1,2,0.0,0.0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,509.0,0,Transient-Party,166.0,0,1,Check-Out,04/08/2017,03/08/2017,2017-08-01
117431,City Hotel,2,2017,August,31,3,0,1,2,0.0,0.0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,509.0,0,Transient-Party,166.0,0,0,Check-Out,04/08/2017,03/08/2017,2017-08-01
117432,City Hotel,2,2017,August,31,3,0,1,2,0.0,0.0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,509.0,0,Transient-Party,166.0,0,0,Check-Out,04/08/2017,03/08/2017,2017-08-01
117433,City Hotel,2,2017,August,31,3,0,1,2,0.0,0.0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,509.0,0,Transient-Party,166.0,0,0,Check-Out,04/08/2017,03/08/2017,2017-08-01
117467,City Hotel,2,2017,August,31,3,0,1,1,0.0,0.0,BB,NLD,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,0,Transient,140.0,0,1,Check-Out,04/08/2017,03/08/2017,2017-08-01
117471,City Hotel,2,2017,August,31,3,0,1,2,1.0,0.0,HB,PRT,Groups,TA/TO,0,0,0,A,A,10,No Deposit,509.0,0,Transient-Party,216.5,0,1,Check-Out,04/08/2017,03/08/2017,2017-08-01
117473,City Hotel,2,2017,August,31,3,0,1,2,0.0,0.0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,509.0,0,Transient-Party,166.0,0,1,Check-Out,04/08/2017,03/08/2017,2017-08-01
117525,City Hotel,2,2017,August,31,3,0,2,2,0.0,0.0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,0,Transient,140.0,0,1,Check-Out,05/08/2017,03/08/2017,2017-08-01
117530,City Hotel,2,2017,August,31,3,0,2,2,0.0,0.0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,0,Transient,140.0,0,1,Check-Out,05/08/2017,03/08/2017,2017-08-01
117765,City Hotel,6,2017,August,32,7,1,1,3,0.0,0.0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,0,Transient,183.99,0,1,Check-Out,09/08/2017,07/08/2017,2017-08-01
117785,City Hotel,8,2017,August,32,9,0,1,1,0.0,0.0,BB,ESP,Corporate,Corporate,0,0,0,A,C,0,No Deposit,0.0,0,Transient,80.0,0,0,Check-Out,10/08/2017,09/08/2017,2017-08-01
117786,City Hotel,8,2017,August,32,9,0,1,1,0.0,0.0,BB,ESP,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0.0,0,Transient,80.0,0,0,Check-Out,10/08/2017,09/08/2017,2017-08-01
117811,City Hotel,6,2017,August,32,7,1,2,2,0.0,0.0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,160.0,0,2,Check-Out,10/08/2017,07/08/2017,2017-08-01
117955,City Hotel,10,2017,August,32,11,0,1,2,0.0,0.0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,189.0,0,0,Check-Out,12/08/2017,11/08/2017,2017-08-01
119032,City Hotel,25,2017,August,34,26,1,1,3,0.0,0.0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,184.5,0,3,Check-Out,28/08/2017,26/08/2017,2017-08-01
119099,City Hotel,26,2017,August,35,27,2,0,2,0.0,0.0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,0,Transient,143.5,0,2,Check-Out,29/08/2017,27/08/2017,2017-08-01
119198,City Hotel,27,2017,August,35,28,1,3,2,0.0,0.0,BB,DEU,Direct,Direct,0,0,0,D,D,2,No Deposit,14.0,0,Transient,169.0,1,0,Check-Out,01/09/2017,28/08/2017,2017-08-01
119216,City Hotel,29,2017,August,35,30,0,2,1,0.0,0.0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,10.0,0,Transient,95.0,0,0,Check-Out,01/09/2017,30/08/2017,2017-08-01
119217,City Hotel,29,2017,August,35,30,0,2,1,0.0,0.0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,10.0,0,Transient,95.0,0,0,Check-Out,01/09/2017,30/08/2017,2017-08-01
119329,City Hotel,30,2017,August,35,31,0,3,2,0.0,0.0,BB,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,151.67,1,0,Check-Out,03/09/2017,31/08/2017,2017-08-01
